epoch,generator_loss,discriminator_loss
0,3.813488483428955,0.7345478534698486
1,5.611043453216553,0.6077030897140503
2,3.12280535697937,0.7603498101234436
3,3.278860569000244,0.7159131169319153
4,3.6008169651031494,0.43006372451782227
5,3.70698618888855,0.3433164060115814
6,3.928370952606201,0.3635416626930237
7,3.7083518505096436,0.41014906764030457
8,3.919996500015259,0.3562685251235962
9,3.5145487785339355,0.407558411359787
10,3.287315845489502,0.45144203305244446
11,2.84364652633667,0.5054242014884949
12,2.6115899085998535,0.5819795727729797
13,2.528141736984253,0.5838336944580078
14,2.4506349563598633,0.6276907920837402
15,2.2619059085845947,0.6557275056838989
16,2.1543965339660645,0.7112618684768677
17,1.948317527770996,0.7784860730171204
18,2.0106539726257324,0.7748997211456299
19,1.9340050220489502,0.7725644707679749
20,1.9379324913024902,0.770674467086792
21,1.7962491512298584,0.8484679460525513
22,1.7830203771591187,0.848299503326416
23,1.8429478406906128,0.8206791281700134
24,1.821270227432251,0.8100757598876953
25,1.7512024641036987,0.8499507904052734
26,1.7125216722488403,0.8581962585449219
27,1.6391706466674805,0.8903198838233948
28,1.643934965133667,0.8950738906860352
29,1.6866251230239868,0.8873870968818665
30,1.6470820903778076,0.8893376588821411
31,1.6393972635269165,0.9083977341651917
32,1.5361440181732178,0.9500958919525146
33,1.521066665649414,0.9501168131828308
34,1.493493914604187,0.9618272185325623
35,1.5202713012695312,0.9486426115036011
36,1.5093334913253784,0.950945258140564
37,1.4121094942092896,0.9854003190994263
38,1.4310604333877563,0.9911831021308899
39,1.4063493013381958,0.9943913817405701
40,1.4258806705474854,0.99257493019104
41,1.3855490684509277,1.0162899494171143
42,1.3410115242004395,1.042594313621521
43,1.3554984331130981,1.024092674255371
44,1.3556129932403564,1.0217124223709106
45,1.2995322942733765,1.0563615560531616
46,1.272985577583313,1.0683904886245728
47,1.2889877557754517,1.048526406288147
48,1.2641314268112183,1.0743012428283691
49,1.2073675394058228,1.0926874876022339
50,1.1977285146713257,1.1143087148666382
51,1.2295197248458862,1.0878289937973022
52,1.2559031248092651,1.0904570817947388
53,1.1903595924377441,1.101529836654663
54,1.1669896841049194,1.1255505084991455
55,1.1711649894714355,1.117891788482666
56,1.152664303779602,1.1271154880523682
57,1.1670830249786377,1.120223879814148
58,1.1548285484313965,1.12554132938385
59,1.1576292514801025,1.1319329738616943
60,1.1323621273040771,1.1356103420257568
61,1.155238151550293,1.1219804286956787
